"","x"
"416","SUZ12P1"
"417","IL11RA"
"418","NPIPB11"
"419","SNORA3B"
"420","KCNQ1OT1"
"421","NMNAT3"
"422","SCAND2P"
"423","WDR97"
"424","PRRT1"
"425","OVGP1"
"426","PKIB"
"427","VCL"
"428","SMG1P7"
"429","ODAM"
"430","AOC3"
"431","PTPRB"
"432","CAPN6"
