"";"Sample1";"Sample2";"Sample3";"Sample4";"Sample5";"Sample6";"Sample7";"Sample8";"Sample9";"Sample10";"Sample11";"Sample12";"Sample13";"Sample14";"Sample15";"Sample16"
"KRT5";-1,75070878853598;5,79457890138518;-0,990151463416451;0,411498328614071;2,40269855943772;0,535189397937901;4,25408714540787;6,21045351275374;-0,863700531030702;2,23791065100794;6,73032343648016;6,85485459691528;8,61230660075641;4,21490237858949;6,50459396577397;6,34273889854301
"TRIM31";2,64160863424278;7,83237325690046;-3,79750638547406;-2,39585659344353;1,69416137359803;1,81529731713064;4,86383632524705;8,78967311974641;6,67620870664348;8,12238076414526;5,30926900129498;0,59129511204013;3,99105234867145;-1,22472075896763;4,22539689643843;4,70834303801735
"PHGR1";6,32075357402065;-2,8671991963868;7,24893556253326;3,62651121958492;4,68975619447803;-2,2721655241197;1,11039368553874;-0,402619694724358;7,86125333582987;6,95945707805649;7,42609484703551;-0,662461480205653;-0,83821734981459;2,97167645383587;-1,31686115332849;2,1177117872095
"LINC01268";-1,75070878853598;3,19888999407097;0,109384210134463;-2,39585659344353;-2,0784281302989;-2,2721655241197;-2,51409717936905;5,72895149881588;-3,49596874653021;7,04478395228294;2,82996827692158;-0,0652206497060601;-2,90860667770599;4,584350635679;7,21996885171957;-0,347410943505654
"LINC00967";-1,75070878853598;-2,8671991963868;6,25641949605705;1,69160624780681;8,25435438242316;7,32215907980514;-5,68402218081137;1,07131149360805;-1,91100624580906;-2,18162824050584;2,43917832388942;-5,9478636990679;-5,23053477259335;-1,04414851332581;-0,179357629578556;-2,06361797750506
"RHEX";2,89314740123875;4,18808323911438;-3,79750638547406;-0,810894092722377;-2,0784281302989;-2,2721655241197;7,18422163689327;1,07131149360805;2,65377837297447;4,12943886174975;0,854215823168261;4,37968894501334;5,51849660944685;6,06376085282659;1,6466129706464;7,27336669168517
"MAPK8IP1P2";-1,75070878853598;-2,8671991963868;4,69834864141312;3,38550312008113;-3,66339063102005;-2,2721655241197;5,20091146713839;-3,57254469616667;-3,01054191935997;5,3340715977782;-3,05267477244026;2,99171551524679;-3,64557227187219;3,90456225797734;4,9942059489271;-4,87097289956267
"SULT1E1";7,27995834771096;-2,8671991963868;7,06125171446137;-2,39585659344353;3,95866118843632;4,82586655884082;-1,43609466736778;-3,57254469616667;-0,0365371278929172;2,43895816994604;-3,05267477244026;0,872315263347286;-5,23053477259335;5,8872842665455;-0,831434326158249;-2,06361797750506
"CYP4F8";9,75063082952542;5,18264935306376;5,50855530395429;5,44334719465341;9,2653127881733;1,63472507148882;4,92792476100861;0,675382817276915;5,91808219819583;6,65189439591893;3,28717523044437;-0,275438357096406;-2,06060977115104;10,9794631693989;3,32699503644623;6,18091575634271
"SNTG1";6,73713124528707;-2,8671991963868;8,52413990551733;0,411498328614071;4,40807173153657;-2,2721655241197;2,27597975125671;-1,98758219544551;-2,11745712327648;-1,04412471675591;-3,05267477244026;4,32009338533494;3,28121788117403;4,95717688414076;0,448673593034487;-1,17053318142157
"MROH2A";-0,165746287814823;2,91416051713786;1,56004561914403;-2,39585659344353;0,424072210230287;-2,2721655241197;2,32160236838251;7,55995503346184;2,24279909026998;3,49079710146566;1,47088718361676;7,14703871368351;6,96144974076696;7,12783769170954;5,61150916969048;2,56365532807406
"CRTAC1";1,70872283010132;3,57574429946192;4,88548819820763;2,55833971694334;6,52024475045317;2,77222859523875;7,73290726240224;1,1823428059968;9,54456071870739;8,64698430211228;7,10845711054405;11,3161481542711;7,77946874870185;9,26706554437882;5,07888717485054;3,88057115952643
"CASQ1";5,73310698872828;5,42281965054581;4,46458845989612;2,73342642350143;-0,856035708962448;1,63472507148882;6,2878805652341;-3,57254469616667;6,34417972895674;6,80535146867074;2,23272744642199;5,02439814966539;-3,64557227187219;7,98424512733893;4,29784869078672;6,60121021662687
"ANXA10";0,571219306351383;6,33981512379073;6,40584161750571;3,67023259701424;0,860171325036961;-2,2721655241197;7,36701678130604;5,20553243336869;-1,17404065164285;0,0200056206638098;4,22344963283398;7,11738412258963;6,42990687761582;6,18070439211396;5,8906413059303;6,69460523722166
"MST1R";3,29368533082247;8,25756833943567;1,69434671085562;4,6809590036073;3,13102523533005;-2,2721655241197;8,567682120308;8,61449801817322;7,74589526570661;8,62781836044731;6,07402970040293;7,37730119042115;4,56874684892857;6,87366230198779;8,46679193306158;8,07428802777654
"NPIPB15";-1,75070878853598;2,26208382055816;5,40950793470348;3,38550312008113;-3,66339063102005;-2,2721655241197;6,49495383056316;5,60984965723786;6,0833471910498;6,71621721549967;6,06885874489977;4,75170875421937;1,53764955218358;0,799125982986739;6,937695098581;1,50406653178426
"SERPINB3";-1,75070878853598;-1,28223669566565;-3,79750638547406;-2,39585659344353;-3,66339063102005;-2,2721655241197;-1,98358246267028;7,00959728549211;-4,23293434069642;-4,5035563353932;4,50956765178082;-3,62593560418054;-5,23053477259335;-5,13161135457615;7,00956833379381;-4,87097289956267
"ONECUT2";4,99075819786517;-2,8671991963868;6,44923421301909;5,74880164938835;-0,856035708962448;4,90774356589523;-4,09905968009021;-3,57254469616667;-4,23293434069642;-1,33363133395089;-0,245319850382653;-3,1405087770103;-1,32364417698483;6,4575716124632;3,77906326667004;-0,347410943505654
"CYP2C9";-1,75070878853598;-1,28223669566565;8,47890885641862;-2,39585659344353;-1,34146253613269;-2,2721655241197;2,10388037858006;5,60487484182257;-5,81789684141758;-2,18162824050584;-3,05267477244026;-4,36290119834675;-0,586678582818626;2,74490559198885;-3,63878924821585;3,41904594736995
"C7";6,63730849680916;-1,28223669566565;8,65704995848789;-0,810894092722377;0,0370490871210399;7,18521535495283;1,05744480558978;-3,57254469616667;-5,81789684141758;-0,255628821949618;3,71550955233667;2,15542410934412;-1,32364417698483;0,225940650041936;-0,179357629578556;-3,28601039884151
"COL22A1";-1,75070878853598;-1,28223669566565;0,957381116689413;-0,810894092722377;-3,66339063102005;-2,2721655241197;2,03707700789582;-0,113113077529373;-3,49596874653021;5,36217693545856;2,56203507167495;1,62956512896785;7,33623282343957;-0,0872172352176941;2,29194808934703;7,01891127074016
"IFITM10";1,70872283010132;6,51434375479778;2,39231817340596;2,81359677218542;4,91025655647327;1,18726609451759;9,55300100637933;8,21331640959293;6,80392610597663;8,43179290764079;7,03080455489158;7,41750186613171;9,07659486790966;6,85173857310031;7,05904710974652;11,1409313340269
"IGFBP5";7,50431978128275;4,67969526350083;1,9838533280506;3,71266786333464;2,06452982354315;2,37169066565502;0,338345632217087;2,09988064580483;8,70266045700238;8,80207795215351;6,23041358058374;8,83559500159717;0,700202564969536;8,60911808459066;7,0503351566974;1,19511629089511
"CAPN8";3,6068432160821;-1,28223669566565;5,28197839835276;5,26947932374164;-0,203959012382755;-2,2721655241197;8,17560966198364;1,47184942319178;6,41242387424354;5,91324119221286;4,31364744180556;4,19551951492192;0,0548674462688979;5,07662300376364;7,91051412029772;5,94681022221187
"CASC22";0,571219306351383;-0,545271101499442;7,04090969032328;-2,39585659344353;6,96140482484018;-2,2721655241197;2,33278610687519;-3,57254469616667;2,3570288410831;2,57325926165763;0,854215823168261;5,70004437521391;-1,77110315395605;2,5050132659675;-3,63878924821585;-2,06361797750506
"GABBR1";1,41921621290633;6,51866320425466;4,25234216397651;0,411498328614071;2,60339590967485;0,897759477322609;8,70527304609741;8,08432702944731;6,62375054883604;8,4584358955357;5,06106739360893;5,6309806924903;7,86106589929392;7,24206947883547;8,81987368465196;8,17461613973468
"NNAT";-0,165746287814823;0,833240521754288;-0,338074766836758;-2,39585659344353;2,06452982354315;-2,2721655241197;-2,51409717936905;7,28776635875281;1,17078784535459;8,08351794180781;6,47284603665481;-1,55554627628914;-1,32364417698483;-0,0872172352176941;-3,63878924821585;0,486579105055417
"HOXB5";3,53469343032627;7,84274618384569;5,40950793470348;1,30458312469756;3,13102523533005;-2,2721655241197;7,8435769995338;5,98778813804577;4,72610160871696;5,68503251031415;0,117250229002055;6,14522369137632;7,58984366373033;6,89179648856407;6,35131471564165;7,21150882830044
"SOX15";-1,75070878853598;-1,28223669566565;-0,0970666673329635;-2,39585659344353;4,15039056019698;-2,2721655241197;6,03151088271522;3,75837218194795;4,28670191214679;4,8115932268631;1,80530622268731;2,12359866348872;6,36518892150828;4,08997576668866;4,4219066834717;5,43394877001901
"NEIL1";2,15618180707254;6,07238001792789;5,64750846039437;-2,39585659344353;5,68312310214558;-2,2721655241197;6,73935639570713;6,0910134080506;6,69014549301143;7,68842817796711;4,53978226482782;5,60432506048925;6,96698910566444;6,55707606864639;6,77800827939021;6,53894834168701
"C3";1,70872283010132;7,21628013094504;3,73387507504226;4,59282809332863;-3,66339063102005;-2,2721655241197;5,64521356092243;8,10385319087809;0,521953161467048;6,09170114605583;8,5327572791527;3,72632856907778;4,87929588168544;4,24125370553644;5,51855768714699;5,76111351327252
"TNNI2";6,6024380369621;10,8898782368675;10,274709977005;4,29064393373968;8,96755899581282;0,0497625707676589;10,788811423352;11,2744636977152;9,2274788918927;10,9155150476083;8,18632698532532;7,52114209336702;11,9433277630913;9,73793429521402;9,47739223821533;8,72882374150154
"CPZ";4,72502464243042;8,74244127805001;2,43131230502183;4,1433022176645;5,50402751481169;-2,2721655241197;7,8928164189132;9,76047085133935;7,45487872186851;10,2546148180939;5,7449867534135;2,41408007466734;4,97769958574644;3,88797937378173;4,18775923907506;7,16623084158931
"LGALS4";6,62866957853528;3,3995873443081;5,46223687821673;-2,39585659344353;3,53628171381631;-2,2721655241197;2,06417066877809;2,35819264139622;8,16072425075835;7,05916309165612;-0,245319850382653;0,710347783683893;-0,276338462206475;5,26392278088616;4,78327551795696;0,555291855139431
"PPP1R1B";7,97891195501706;-2,8671991963868;5,19401546060164;6,63481054280341;6,65062607288131;-2,2721655241197;-0,639628061452914;-3,57254469616667;2,49044218872183;5,33722158820185;-0,245319850382653;0,946954064240042;-2,42317985053575;1,24342807677078;1,11609825394762;0,743736944552542
"KBTBD12";3,7411443077937;3,57574429946192;-0,990151463416451;-2,39585659344353;-3,66339063102005;-2,2721655241197;5,03963876359862;4,5096043451872;-2,64797183997526;3,7300633413665;2,37358998226184;4,29650013605261;5,76735035523576;5,22484061564561;5,64429910480815;3,73265344542353
"LINC00839";-0,165746287814823;1,65636275967021;0,45042112796953;-2,39585659344353;5,80217577378935;4,46930146228144;3,24375578127097;-3,57254469616667;-4,23293434069642;-4,5035563353932;-3,05267477244026;1,71747221811727;3,0221306598569;5,53283592997182;4,33275430573492;-4,87097289956267
"DDX3Y";4,75708585166272;-2,8671991963868;-0,0970666673329635;3,71266786333464;4,15039056019698;5,00395888115453;4,64577415740933;4,5096043451872;6,38942258504023;5,60627431888559;-3,05267477244026;6,48546092764802;5,54672054259857;0,799125982986739;-2,0538267474947;5,46553366024759
"IGFL1";1,70872283010132;-1,28223669566565;1,62875836922804;-0,0739284985561711;7,19692042389943;5,51573703527173;5,68720994755826;-0,402619694724358;5,84965826562355;-2,18162824050584;1,59118141733447;-1,86040085781756;-0,475647270429882;6,71113182615551;-0,831434326158249;1,92344296678744
"STRA6";-1,75070878853598;-1,28223669566565;5,76282644873839;1,06357502519376;0,584536882423533;-2,2721655241197;6,78485637300806;2,90318873479973;-2,35846522278028;3,34819270602285;2,87806256512263;0,355917049109202;1,10931523029127;0,649748358948512;4,02654666896932;8,15433972035905
"GSTA1";7,2688819398219;-2,8671991963868;1,15668992491282;-2,39585659344353;1,6220115878422;6,49270606661639;0,691017250535558;2,61727986271335;-5,81789684141758;-2,18162824050584;1,70221272972321;-5,9478636990679;-5,23053477259335;3,98473260666132;3,43802634883498;-4,87097289956267
"COL9A2";4,99075819786517;5,72151543919546;1,15668992491282;1,99646082933523;3,32529405575211;1,18726609451759;8,74191488973167;2,15537575839653;6,85828063541503;7,21967796550017;6,65985222799957;7,46430916675588;8,09266075908479;8,21808454108226;9,16312115468118;8,21466552971266
"GIPR";-1,75070878853598;5,27745904644508;0,957381116689413;-0,810894092722377;1,19459036410752;-2,2721655241197;4,99457795828809;-3,57254469616667;4,98381151749888;6,01902519586163;2,67524568212294;4,58449222622095;4,09364577402539;4,30510018756107;4,30957798336882;4,06860631475203
"S100A3";-1,75070878853598;6,28508564591978;0,109384210134463;2,64853752591492;-0,203959012382755;0,0497625707676589;7,41680439008437;7,41968556879922;2,36697850149071;4,13668860082914;1,3396426503385;1,40086445516318;6,01798583234508;2,9611457863437;5,46187309078935;6,77153012921785
"ARHGAP40";2,33675405271436;6,75302062912068;4,04169740262289;-0,0739284985561711;4,79193658928451;-2,2721655241197;7,48166997150875;0,514918145083669;5,72368381857359;5,51742360351101;4,70887646000422;6,01105145702345;4,38968505291414;7,63263825079101;6,6268257982686;6,49589568660443
"GABRE";2,15618180707254;7,68450906523388;3,42166213498811;4,29064393373968;1,95131921309516;-2,2721655241197;6,33730485181301;7,98060457943188;1,23738559408361;7,64650824368827;4,50956765178082;5,33348681591313;5,41241945088698;5,81163604132541;9,10583439112773;7,54027325227778
"NLRP2";3,45874457709297;-0,545271101499442;4,53788396921987;-0,810894092722377;0,0370490871210399;-2,2721655241197;-2,22459056217407;-1,98758219544551;-4,23293434069642;-1,04412471675591;6,59658140507706;-2,04097310345938;-5,23053477259335;6,32422955455025;5,33562534158967;1,15139491346579
"USP32P1";0,571219306351383;-2,8671991963868;2,46928015522085;0,411498328614071;0,728926791758708;-2,2721655241197;-1,98358246267028;-1,25061660127931;-0,460344836799493;5,3652662193818;-3,05267477244026;4,70049388294176;-2,90860667770599;7,11661273509233;0,0616504699252392;4,44417666269363
"FGFR3";3,86400105557923;9,74728060785852;5,65987449359848;5,03877163419319;9,66766625340657;2,12015189865906;9,41017924398212;10,4101815560154;9,80486996930168;11,4574184721186;10,3499376310664;10,2723823553634;10,8385583049833;10,6187554320167;10,8205783289148;8,60969109805663
"LOC729737";1,70872283010132;6,57366997122407;-0,627581384031743;-0,810894092722377;0,860171325036961;-2,2721655241197;5,80331543439581;-3,57254469616667;5,41032060087586;1,47372358810671;4,70887646000422;-0,738410333438952;1,07324597558375;5,01686522760213;1,21919174691172;5,64768025611072
"EPOR";3,45874457709297;5,16070680018308;7,9042332532003;2,35903090871994;3,6494923242643;-2,2721655241197;7,80268716497819;1,47184942319178;7,18614801841986;7,56757078955511;1,80530622268731;5,6309806924903;6,42544308989359;6,93212076562077;5,71214993333058;6,94080315576399
"AZGP1";8,1026007668677;1,03969139922171;8,68555359239761;2,35903090871994;3,9732339895236;0,0497625707676589;4,48965495549205;-0,402619694724358;-5,81789684141758;1,47372358810671;3,09707234706442;7,29456612848981;5,20721729973025;2,68216983664089;0,268101347392666;0,173421219795787
"FAR2P1";-1,75070878853598;1,03969139922171;5,06977235423561;3,1587322582341;6,97775796639118;-2,2721655241197;-0,12943332913373;6,36850291017391;-5,81789684141758;-4,5035563353932;2,50191407923738;-5,9478636990679;-5,23053477259335;-5,13161135457615;0,88477270784116;-0,227116709787942
